make,model,year,engine_fuel_type,engine_hp,engine_cylinders,transmission_type,driven_wheels,number_of_doors,market_category,vehicle_size,vehicle_style,highway_mpg,city_mpg,popularity,msrp,combined_mpg
Chrysler,200,2016,flex_regular,184.0,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,22490,28.85
Chrysler,200,2016,flex_regular,184.0,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27570,28.85
Chrysler,200,2016,flex_regular,184.0,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25690,28.85
Chrysler,200,2016,flex_regular,184.0,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,24490,28.85
Chrysler,200,2017,flex_regular,295.0,6,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,29905,22.5
Chrysler,200,2017,flex_regular,295.0,6,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,31785,22.5
Chrysler,200,2017,flex_regular,184.0,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,26685,28.85
Chrysler,200,2017,flex_regular,184.0,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,22490,28.85
Chrysler,200,2017,flex_regular,184.0,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25690,28.85
Chrysler,200,2017,flex_regular,295.0,6,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,30900,22.5
Chrysler,200,2017,flex_regular,184.0,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27795,28.85
Chrysler,200,2017,flex_regular,184.0,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995,28.85
Chrysler,200,2017,flex_regular,184.0,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,24490,28.85
Nissan,200SX,1996,regular,115.0,4,MANUAL,front wheel drive,2.0,,Compact,Coupe,36,26,2009,2000,30.5
Nissan,200SX,1996,regular,115.0,4,MANUAL,front wheel drive,2.0,,Compact,Coupe,36,26,2009,2000,30.5
Nissan,200SX,1996,regular,140.0,4,MANUAL,front wheel drive,2.0,Performance,Compact,Coupe,29,21,2009,2000,24.6
Nissan,200SX,1997,regular,140.0,4,MANUAL,front wheel drive,2.0,Performance,Compact,Coupe,29,21,2009,2000,24.6
Nissan,200SX,1997,regular,115.0,4,MANUAL,front wheel drive,2.0,,Compact,Coupe,35,25,2009,2000,29.5
Nissan,200SX,1997,regular,115.0,4,MANUAL,front wheel drive,2.0,,Compact,Coupe,35,25,2009,2000,29.5
Nissan,200SX,1998,regular,115.0,4,MANUAL,front wheel drive,2.0,,Compact,Coupe,35,25,2009,2000,29.5
Nissan,200SX,1998,regular,115.0,4,MANUAL,front wheel drive,2.0,,Compact,Coupe,35,25,2009,2000,29.5
Nissan,200SX,1998,regular,140.0,4,MANUAL,front wheel drive,2.0,Performance,Compact,Coupe,28,20,2009,2073,23.6
Nissan,240SX,1996,regular,155.0,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,3713,22.150000000000002
Nissan,240SX,1996,regular,155.0,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,3520,22.150000000000002
Nissan,240SX,1997,regular,155.0,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,3910,22.150000000000002
Nissan,240SX,1997,regular,155.0,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,4182,22.150000000000002
Nissan,240SX,1997,regular,155.0,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,4107,22.150000000000002
Nissan,240SX,1998,regular,155.0,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,25,20,2009,4299,22.25
Nissan,240SX,1998,regular,155.0,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,25,20,2009,4693,22.25
Nissan,240SX,1998,regular,155.0,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,25,20,2009,4107,22.25
Volvo,240,1991,regular,114.0,4,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Wagon,26,19,870,2000,22.150000000000002
Volvo,240,1991,regular,114.0,4,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Wagon,23,18,870,2000,20.25
Volvo,240,1991,regular,114.0,4,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000,22.150000000000002
Volvo,240,1992,regular,114.0,4,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000,22.150000000000002
Volvo,240,1992,regular,114.0,4,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Wagon,26,19,870,2000,22.150000000000002
Volvo,240,1992,regular,114.0,4,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000,22.150000000000002
Volvo,240,1993,regular,114.0,4,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000,22.150000000000002
Volvo,240,1993,regular,114.0,4,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Wagon,25,18,870,2000,21.15
Mazda,2,2012,regular,100.0,4,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,16020,31.700000000000003
Mazda,2,2012,regular,100.0,4,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,14530,31.700000000000003
Mazda,2,2012,regular,100.0,4,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,16860,30.700000000000003
Mazda,2,2012,regular,100.0,4,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,15370,30.700000000000003
Mazda,2,2013,regular,100.0,4,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,17050,30.700000000000003
Mazda,2,2013,regular,100.0,4,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,15560,30.700000000000003
Mazda,2,2013,regular,100.0,4,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,16210,31.700000000000003
Mazda,2,2013,regular,100.0,4,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,14720,31.700000000000003
Mazda,2,2014,regular,100.0,4,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,17050,30.700000000000003
Mazda,2,2014,regular,100.0,4,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,15560,30.700000000000003
Mazda,2,2014,regular,100.0,4,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,16210,31.700000000000003
Mazda,2,2014,regular,100.0,4,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,14720,31.700000000000003
BMW,3 Series Gran Turismo,2015,premium,300.0,6,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,47250,24.5
BMW,3 Series Gran Turismo,2015,premium,240.0,4,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22,3916,41850,26.950000000000003
BMW,3 Series Gran Turismo,2015,premium,240.0,4,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22,3916,41850,26.950000000000003
BMW,3 Series Gran Turismo,2016,premium,240.0,4,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,34,22,3916,43000,27.400000000000002
BMW,3 Series Gran Turismo,2016,premium,300.0,6,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,49200,24.5
BMW,3 Series Gran Turismo,2017,premium,320.0,6,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,49650,24.5
BMW,3 Series Gran Turismo,2017,premium,248.0,4,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,33,23,3916,43950,27.5
BMW,3 Series,2015,premium,241.0,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,33,22,3916,41950,26.950000000000003
BMW,3 Series,2015,premium,335.0,6,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance,Hybrid",Midsize,Sedan,33,25,3916,50150,28.6
BMW,3 Series,2015,premium,240.0,4,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,35,23,3916,37500,28.4
BMW,3 Series,2015,premium,300.0,6,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,32,21,3916,43750,25.950000000000003
BMW,3 Series,2015,diesel,180.0,4,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,45,32,3916,39000,37.85
BMW,3 Series,2015,premium,240.0,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,33,22,3916,39500,26.950000000000003
BMW,3 Series,2015,premium,240.0,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,33,22,3916,39500,26.950000000000003
BMW,3 Series,2015,premium,180.0,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,35,23,3916,34950,28.4
BMW,3 Series,2015,premium,300.0,6,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,30,20,3916,45750,24.5
BMW,3 Series,2015,diesel,180.0,4,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Wagon,43,31,3916,43450,36.400000000000006
BMW,3 Series,2015,premium,240.0,4,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,35,23,3916,37500,28.4
BMW,3 Series,2015,diesel,180.0,4,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,43,31,3916,41000,36.400000000000006
BMW,3 Series,2015,premium,180.0,4,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,36,24,3916,32950,29.4
BMW,3 Series,2016,diesel,180.0,4,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,40,30,3916,41850,34.5
BMW,3 Series,2016,premium,320.0,6,AUTOMATIC,all wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,47800,26.950000000000003
BMW,3 Series,2016,diesel,180.0,4,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,42,32,3916,39850,36.5
BMW,3 Series,2016,premium,240.0,4,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350,27.400000000000002
BMW,3 Series,2016,premium,240.0,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,34,22,3916,40350,27.400000000000002
BMW,3 Series,2016,premium,240.0,4,MANUAL,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350,27.400000000000002
BMW,3 Series,2016,premium,240.0,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,34,22,3916,42650,27.400000000000002
BMW,3 Series,2016,premium,180.0,4,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,36,24,3916,33150,29.4
BMW,3 Series,2016,premium,180.0,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,35,23,3916,35150,28.4
BMW,3 Series,2016,diesel,180.0,4,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Wagon,40,30,3916,44150,34.5
BMW,3 Series,2016,premium,320.0,6,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,45800,26.950000000000003
BMW,3 Series,2017,premium,248.0,4,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,34,23,3916,38750,27.950000000000003
BMW,3 Series,2017,premium,180.0,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,34,23,3916,35450,27.950000000000003
BMW,3 Series,2017,premium,180.0,4,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,35,23,3916,33450,28.4
BMW,3 Series,2017,premium,248.0,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,33,23,3916,40750,27.5
BMW,3 Series,2017,diesel,180.0,4,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,40,30,3916,42250,34.5
BMW,3 Series,2017,premium,248.0,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,33,23,3916,42950,27.5
BMW,3 Series,2017,diesel,180.0,4,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,42,32,3916,40250,36.5
BMW,3 Series,2017,premium,320.0,6,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,31,21,3916,49900,25.5
BMW,3 Series,2017,premium,320.0,6,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,32,21,3916,47900,25.950000000000003
BMW,3 Series,2017,diesel,180.0,4,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Wagon,40,30,3916,44450,34.5
Mercedes-Benz,300-Class,1991,regular,177.0,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,Sedan,19,15,617,2232,16.8
Mercedes-Benz,300-Class,1991,regular,177.0,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Wagon,20,15,617,2000,17.25
Mercedes-Benz,300-Class,1991,regular,158.0,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,22,17,617,2000,19.25
Mercedes-Benz,300-Class,1991,regular,177.0,6,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,20,15,617,2105,17.25
Mercedes-Benz,300-Class,1991,regular,177.0,6,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,18,15,617,2199,16.35
Mercedes-Benz,300-Class,1991,regular,177.0,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,22,16,617,2000,18.700000000000003
Mercedes-Benz,300-Class,1991,regular,177.0,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,Sedan,19,15,617,2124,16.8
Mercedes-Benz,300-Class,1991,regular,228.0,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,21,14,617,3552,17.150000000000002
Mercedes-Benz,300-Class,1991,regular,217.0,6,AUTOMATIC,rear wheel drive,2.0,Luxury,Midsize,Coupe,22,15,617,2179,18.15
Mercedes-Benz,300-Class,1991,diesel,121.0,5,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,30,23,617,2000,26.15
Mercedes-Benz,300-Class,1992,diesel,121.0,5,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,29,23,617,2000,25.700000000000003
Mercedes-Benz,300-Class,1992,regular,228.0,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,Sedan,17,14,617,2377,15.350000000000001
Mercedes-Benz,300-Class,1992,regular,228.0,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,21,15,617,3814,17.700000000000003
Mercedes-Benz,300-Class,1992,regular,177.0,6,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,19,15,617,2207,16.8
Mercedes-Benz,300-Class,1992,regular,177.0,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Wagon,20,15,617,2000,17.25
Mercedes-Benz,300-Class,1992,regular,217.0,6,AUTOMATIC,rear wheel drive,2.0,Luxury,Midsize,Coupe,21,15,617,2248,17.700000000000003
Mercedes-Benz,300-Class,1992,regular,177.0,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,22,16,617,2065,18.700000000000003
Mercedes-Benz,300-Class,1992,diesel,148.0,6,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Large,Sedan,22,18,617,2547,19.8
Mercedes-Benz,300-Class,1992,regular,177.0,6,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,18,15,617,2282,16.35
Mercedes-Benz,300-Class,1992,regular,158.0,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,23,18,617,2000,20.25
